2.0350	Fang Fang: It’s like the relationship between a fish and water; or a tree and the soil.	方方：这是鱼和水的关系。是植物与土壤的关系。
1.9048	I donate my body to the nation; what about my wife?	我的遗体捐国家，我老婆呢
1.7816	To borrow three words from the great Song poet Lu You: Wrong, wrong, wrong.	借陆游三个字：错，错，错
1.7649	Let’s see if I’m scared of you!	你看我怕不怕你们
1.7449	Someone has probably been trying to use this incident with the police to harass me?	有人试图要挟警方对我进行打击吗？
1.7330	It is clear that life will gradually start getting back to normal.	显然，生活将陆续恢复正常
1.7146	It has already been more than a month since I have gone downstairs and left my building. I often stand on my fifth-floor balcony staring blankly at the dead-silent world that surrounds me below.	我已经有一个月没有下楼了，我常常站在5楼的阳台上，望着周围死一般寂静的世界发呆。
1.7045	If someone has to take the blame and resign, let’s start with the secretary and director of Central Hospital.	引咎辞职，从中心医院的书记和院长开始
1.6928	I pray that all these disasters may soon come to an end.	祈盼所有的灾难尽快结束吧。
1.6864	You need to be brave and accept the consequences of your decisions.	自己做的选择，自己就要勇于承担选择的结果
1.6860	That’s right; I have no choice but to go with shame.	是的，我只能选择惭愧。
1.6798	I keep hearing these recordings online of a child somewhere crying and screaming: “Mommy, don’t leave me! I love you so much, Mommy. . . .” As a mother, anytime I hear such a voice, I can’t help but feel a cold shiver run through my entire body.	偶尔听到一个音频，不知道是哪里的孩子在声嘶厉竭的哭喊：妈妈，你不要抛下我，我很喜欢你……听到这样的声音，我们这些做母亲的人总会浑身发冷。
1.6670	All those questions, they remain unanswered.	所有的疑问，都无人回应
1.6368	After recovery there do not seem to be any lingering side effects, and there does not seem to be evidence of fibrosis in the lungs of those who have recovered;	2、愈后不会有后遗症，肺部不会纤维化；
1.6341	Remember, there is no such thing as victory here, there is only the end.	记住，没有胜利，而是结束
1.6310	Online shopping, binge-watching, sleeping: This is our life now.	眼下就这样活着：团购，追剧，睡觉
1.6308	My god . . .	唉…..
1.6242	The spread is so difficult to contain, which is indeed a challenge.	蔓延难以控制，看来这真的是个难题
1.6169	As I was cooking, my colleague called to tell me that her classmate just gave birth to a 4.5 kg fat baby boy by C-section. She told me that the arrival of a new life is such a happy occasion.	正炒菜时，同事告诉我：她的同学下午在市妇幼顺利剖腹产，生了个8斤4两的胖小子。她还说，新生命的降临让人开心。
